iter	Passed	Remaining
402	10463	15499
403	10488	15473
404	10513	15446
405	10537	15417
406	10562	15389
407	10586	15361
408	10610	15332
409	10635	15304
410	10658	15274
411	10682	15245
412	10707	15218
413	10731	15190
414	10755	15161
415	10779	15132
416	10803	15103
417	10828	15076
418	10852	15047
419	10875	15018
420	10899	14990
421	10923	14961
422	10947	14933
423	10971	14905
424	10995	14876
425	11020	14848
426	11044	14821
427	11068	14792
428	11093	14764
429	11117	14736
430	11140	14707
431	11165	14680
432	11189	14651
433	11213	14623
434	11237	14595
435	11261	14567
436	11285	14539
437	11310	14512
438	11335	14485
439	11359	14457
440	11383	14429
441	11407	14401
442	11431	14373
443	11456	14346
444	11480	14317
445	11506	14292
446	11532	14267
447	11557	14241
448	11598	14232
449	11620	14203
450	11645	14176
451	11669	14148
452	11694	14120
453	11718	14093
454	11744	14067
455	11770	14041
456	11795	14015
457	11820	13988
458	11845	13961
459	11871	13936
460	11896	13909
461	11922	13883
462	11948	13858
463	11974	13832
464	11999	13806
465	12024	13779
466	12049	13752
467	12074	13725
468	12099	13698
469	12123	13671
470	12148	13644
471	12172	13616
472	12196	13588
473	12220	13561
474	12245	13534
475	12269	13506
476	12295	13480
477	12320	13454
478	12345	13427
479	12371	13402
480	12395	13375
481	12420	13348
482	12446	13322
483	12470	13295
484	12495	13268
485	12521	13242
486	12545	13214
487	12569	13187
488	12594	13160
489	12619	13134
490	12645	13109
491	12670	13083
492	12697	13057
493	12721	13030
494	12745	13003
495	12771	12977
496	12796	12951
497	12821	12924
498	12846	12897
499	12870	12870
500	12895	12843
501	12919	12816
502	12945	12791
503	12972	12766
504	12997	12740
505	13023	12714
506	13048	12688
507	13075	12663
508	13102	12638
509	13128	12613
510	13153	12587
511	13179	12561
512	13210	12540
513	13250	12528
514	13278	12505
515	13305	12480
516	13331	12455
517	13357	12429
518	13383	12403
519	13407	12376
520	13432	12350
521	13457	12323
522	13482	12296
523	13507	12270
524	13532	12243
525	13555	12215
526	13580	12188
527	13603	12161
528	13627	12133
529	13653	12107
530	13676	12079
531	13702	12054
532	13729	12028
533	13755	12004
534	13782	11979
535	13809	11954
536	13836	11929
537	13861	11903
538	13887	11877
539	13915	11854
540	13940	11827
541	13966	11802
542	13991	11775
543	14017	11750
544	14042	11723
545	14069	11698
546	14094	11672
547	14120	11646
548	14145	11620
549	14170	11594
550	14197	11569
551	14222	11543
552	14248	11517
553	14272	11490
554	14300	11466
555	14325	11439
556	14350	11413
557	14376	11387
558	14404	11363
559	14434	11341
560	14464	11319
561	14494	11296
562	14524	11274
563	14551	11248
564	14576	11222
565	14603	11197
566	14632	11174
567	14660	11149
568	14685	11123
569	14712	11098
570	14739	11074
571	14767	11049
572	14796	11026
573	14824	11002
574	14852	10978
575	14894	10964
576	14920	10938
577	14950	10915
578	14976	10889
579	15002	10863
580	15027	10837
581	15052	10811
582	15082	10788
583	15116	10767
584	15142	10742
585	15169	10716
586	15197	10692
587	15227	10669
588	15254	10644
589	15281	10619
590	15309	10595
591	15337	10570
592	15364	10545
593	15391	10520
594	15421	10497
595	15454	10475
596	15481	10450
597	15508	10425
598	15536	10400
599	15562	10374
600	15589	10350
601	15617	10325
602	15645	10300
603	15674	10276
604	15700	10250
605	15727	10225
606	15754	10200
607	15780	10174
608	15807	10148
609	15834	10123
610	15862	10099
611	15890	10074
612	15930	10057
613	15960	10033
614	15987	10008
615	16012	9982
616	16037	9955
617	16061	9928
618	16086	9901
619	16110	9874
620	16134	9847
621	16159	9820
622	16183	9793
623	16207	9766
624	16232	9739
625	16256	9712
626	16282	9686
627	16308	9660
628	16346	9641
629	16372	9615
630	16400	9590
631	16427	9565
632	16452	9538
633	16478	9512
634	16503	9486
635	16532	9462
636	16559	9436
637	16584	9410
638	16611	9384
639	16636	9358
640	16661	9331
641	16685	9304
