iter	Logloss
0	0.6864550908
1	0.6800726095
2	0.673779471
3	0.6685338478
4	0.6633633289
5	0.6587378309
6	0.6546144784
7	0.6505573745
8	0.6461751123
9	0.6424117274
10	0.6381961596
11	0.6346076897
12	0.6312472703
13	0.6281706027
14	0.6249485418
15	0.6216105356
16	0.6191430493
17	0.6165222142
18	0.6136266065
19	0.6109441347
20	0.6081216148
21	0.605686261
22	0.6034386585
23	0.60131819
24	0.5991519001
25	0.5971262113
26	0.5949249299
27	0.5927715928
28	0.5907155505
29	0.5887504378
30	0.5869138467
31	0.5850525985
32	0.5833199222
33	0.5814633592
34	0.5797163159
35	0.5781950371
36	0.5764672956
37	0.574879323
38	0.5732491243
39	0.5716289571
40	0.5700511133
41	0.5683126294
42	0.5667344094
43	0.5651440959
44	0.5638720256
45	0.5625986932
46	0.561386745
47	0.560266022
48	0.5589171695
49	0.5576994795
50	0.5562249563
51	0.5547298405
52	0.5536028739
53	0.5523515123
54	0.5514300648
55	0.5501575614
56	0.5489516193
57	0.5478578376
58	0.5466303301
59	0.5455141291
60	0.5443854539
61	0.5434509549
62	0.5425006932
63	0.5413161677
64	0.5403341294
65	0.5395117177
66	0.5384216128
67	0.5373566677
68	0.536433461
69	0.5355812753
70	0.5346426933
71	0.5338094351
72	0.5328374051
73	0.5318596284
74	0.5309087852
75	0.5300493485
76	0.5291262412
77	0.5282963562
78	0.5274669346
79	0.5266804397
80	0.5257349559
81	0.5249096996
82	0.5239951523
83	0.5231042381
84	0.5223203548
85	0.5214530961
86	0.5207260457
87	0.5199973737
88	0.5191797623
89	0.5184023726
90	0.5176198711
91	0.5168472384
92	0.5159917449
93	0.5153500569
94	0.514622856
95	0.5140059816
96	0.5133691572
97	0.512694321
98	0.5119107072
99	0.5113051998
100	0.5106003343
101	0.5099745072
102	0.5092742248
103	0.5086860651
104	0.5081094073
105	0.5075179608
106	0.5067402374
107	0.5061561071
108	0.5054275153
109	0.5049318374
110	0.5042978762
111	0.5037293244
112	0.5030730914
113	0.5023863491
114	0.5018097113
115	0.5012550804
116	0.5005999061
117	0.4999951239
118	0.499322274
119	0.4987614718
120	0.4982816
121	0.4976912906
122	0.4971128737
123	0.4965218395
124	0.4958781091
125	0.4952681096
126	0.4948483293
127	0.4943653258
128	0.4938643413
129	0.4933181208
130	0.4927680855
131	0.4922270981
132	0.4916526982
133	0.4911222862
134	0.4904856498
135	0.4899030776
136	0.4893627969
137	0.4888596226
138	0.4883170993
139	0.4878897958
140	0.487401892
141	0.4869356839
142	0.486510798
143	0.4859995579
144	0.4855775125
145	0.4851439944
146	0.4847061569
147	0.4842561406
148	0.4837446823
149	0.4833041711
150	0.4827840169
151	0.4822506087
152	0.4818137233
153	0.48131213
154	0.4808420643
155	0.4803723284
156	0.479798508
157	0.4793360484
158	0.4787447406
159	0.4783107023
160	0.4778123391
161	0.477360037
162	0.4768676549
163	0.4763289708
164	0.4758394957
165	0.4753924402
166	0.4749746948
167	0.4744660489
168	0.4739558423
169	0.4735080026
170	0.4729697278
171	0.472431381
172	0.4720791685
173	0.4716820907
174	0.471406881
175	0.4709917673
176	0.4705700833
177	0.4702182648
178	0.4696463071
179	0.4692094105
180	0.4687504039
181	0.4684012967
182	0.4679214884
183	0.4674507697
184	0.4670772507
185	0.4667105233
